id,name,pos,team_name,price,selected_by,status,pen1,prior,benched,minutes_season,xp_h,xp_next,p_start,games,starts_actual,value
140,Sánchez,GK,CHE,4.9,1.1,u,False,False,False,90,4.798096431098356,0.0,0.22066666666666668,6,0.3333333333333333,0.9792033532853788
141,Jörgensen,GK,CHE,5.0,0.0,u,False,True,False,0,4.286550116628295,0.0,0.20066666666666666,6,0.0,0.857310023325659
142,James,DEF,CHE,5.4,7.9,a,False,False,False,202,14.06464531566334,2.85765877049868,0.659,6,0.6666666666666666,2.6045639473450626
143,Chalobah,DEF,CHE,5.5,0.1,u,False,False,False,0,3.9420353199582436,0.0,0.17466666666666666,6,0.0,0.7167336945378625
144,Gusto,DEF,CHE,5.0,1.1,a,False,False,False,195,13.465941299799333,2.740365764944536,0.663,6,0.6666666666666666,2.6931882599598667
145,Fofana,DEF,CHE,5.0,0.1,a,False,False,False,157,14.361638484142514,2.77864957289224,0.591,6,0.6666666666666666,2.8723276968285028
146,B.Badiashile,DEF,CHE,4.5,0.0,u,False,False,False,0,0.7402166768929488,0.0,0.04066666666666666,6,0.0,0.16449259486509973
147,Tosin,DEF,TOT,4.4,0.2,a,False,False,False,0,2.4392877433541083,0.44282507512514,0.102,6,0.0,0.5543835780350246
148,Hato,DEF,CHE,4.5,0.8,a,False,False,False,213,10.957525075188094,2.2329543673685794,0.645,6,1.0,2.435005572264021
149,Colwill,DEF,CHE,4.9,1.2,a,False,True,False,161,7.1101410761922255,1.4095967608562472,0.319,6,0.6666666666666666,1.451049199222903
150,M.Sarr,DEF,CHE,4.5,0.0,u,False,True,False,0,1.7165808198978165,0.0,0.08733333333333333,6,0.0,0.381462404421737
151,Acheampong,DEF,CHE,4.5,0.4,a,False,False,False,202,9.901323965140552,1.9590058608194232,0.446,6,0.6666666666666666,2.200294214475678
152,Palestra,DEF,CHE,5.4,1.2,d,False,True,False,0,12.675394452488929,2.2165965549875284,0.5366666666666666,6,0.0,2.347295268979431
153,Disasi,DEF,CRY,4.5,0.1,a,False,False,False,106,7.830743524707408,1.5751557991738068,0.395,6,0.3333333333333333,1.7401652277127573
154,Palmer,MID,CHE,9.6,20.9,a,True,False,False,262,30.278105768773425,5.964770495522986,0.8770000000000001,6,1.0,3.1539693509138984
155,Enzo,MID,MCI,6.9,3.3,a,False,False,True,100,18.285993562106547,2.7286571675666718,0.589,6,0.3333333333333333,2.6501439945081953
156,Neto,MID,CHE,6.5,1.3,a,False,False,False,161,18.164566951050816,3.4717211094442164,0.749,6,0.6666666666666666,2.7945487617001254
157,Estêvão,MID,CHE,6.4,0.8,a,False,False,False,16,6.932863700811994,1.3647526085700068,0.247,6,0.0,1.083259953251874
158,Gittens,MID,CHE,5.9,0.0,a,False,False,False,0,3.31791068843929,0.6334704341448345,0.154,6,0.0,0.5623577438032694
159,Caicedo,MID,CHE,5.4,1.7,d,False,False,False,13,6.328264566052404,0.9952123808133453,0.28733333333333333,6,0.0,1.17190084556526
160,Garnacho,MID,AVL,5.9,0.4,a,False,False,False,31,5.46319255099935,0.9705539594858286,0.232,6,0.0,0.9259648391524322
161,Lavia,MID,CHE,5.0,0.2,a,False,False,False,190,22.756507860257997,4.401964458895827,0.86,6,1.0,4.5513015720515995
162,Andrey Santos,MID,MUN,4.9,0.8,a,False,False,False,82,6.195569412387037,0.9984796569770951,0.299,6,0.3333333333333333,1.2644019208953137
163,D.Essugo,MID,CHE,4.5,0.1,u,False,True,False,0,0.34221982409055707,0.0,0.017333333333333333,6,0.0,0.07604884979790157
164,Quenda,MID,CHE,5.4,0.0,a,False,True,False,8,5.023586060656302,0.9372430236893217,0.257,6,0.0,0.9302937149363522
165,João Pedro,FWD,CHE,7.7,72.0,a,False,False,False,270,29.504264535844165,5.633949501481409,0.915,6,1.0,3.8317226669927487
166,N.Jackson,FWD,AVL,6.5,1.1,a,False,True,False,154,14.709459243850757,2.575830944679784,0.57,6,0.6666666666666666,2.2629937298231932
167,Delap,FWD,NFO,5.5,0.8,a,False,False,False,97,5.910652644002032,0.9459331361842934,0.3459999999999999,6,0.3333333333333333,1.0746641170912785
168,Marc Guiu,FWD,CHE,5.0,0.3,u,False,True,False,0,2.657847615442856,0.0,0.09933333333333333,6,0.0,0.5315695230885712
169,Mheuka,FWD,CHE,4.5,0.4,a,False,True,False,0,2.006486816989635,0.38453965985008365,0.073,6,0.0,0.44588595933103
170,Emegha,FWD,CHE,5.0,0.2,a,False,True,False,0,4.917147082589541,0.9402133360072711,0.18299999999999997,6,0.0,0.9834294165179083
171,Dovin,GK,COV,4.0,1.3,u,False,True,False,0,1.2150880980802343,0.0,0.064,6,0.0,0.3037720245200586
172,Wilson,GK,COV,4.5,0.4,a,False,True,False,0,6.768373784094784,1.1134618141422759,0.381,6,0.0,1.5040830631321742
173,Thomas,DEF,COV,4.0,8.6,a,False,False,False,257,26.066737350642327,4.205225998414402,0.923,6,1.0,6.516684337660582
174,Kitching,DEF,COV,4.0,0.5,u,False,True,False,0,3.0181659287187275,0.0,0.17,6,0.0,0.7545414821796819
175,van Ewijk,DEF,COV,4.0,11.4,a,False,False,False,270,12.388493926769051,1.9340317883864282,0.899,6,1.0,3.097123481692263
176,Dasilva,DEF,COV,4.0,0.7,a,False,False,False,264,14.028259860998006,2.2080288966981216,0.875,6,1.0,3.5070649652495014
177,Kesler-Hayden,DEF,COV,4.0,0.0,i,False,True,False,0,1.0925663827069112,0.0,0.06133333333333333,6,0.0,0.2731415956767278
178,Bidwell,DEF,COV,4.0,0.1,a,False,True,False,0,1.8233336582429818,0.28820485184360284,0.106,6,0.0,0.45583341456074544
179,Latibeaudiere,DEF,COV,4.0,0.0,a,False,True,False,0,1.499980642485434,0.23709412530253265,0.08700000000000001,6,0.0,0.3749951606213585
180,Woolfenden,DEF,COV,4.0,0.1,i,False,True,False,0,0.5740310609009146,0.0,0.032,6,0.0,0.14350776522522865
181,Brau,DEF,COV,4.0,0.0,u,False,True,False,0,0.5581719911103189,0.0,0.03133333333333333,6,0.0,0.13954299777757972
182,Amenda,DEF,COV,4.0,0.8,a,False,False,False,270,11.316596278940704,1.7625937025195118,0.838,6,1.0,2.829149069735176
183,Rudoni,MID,COV,5.0,0.1,a,False,True,False,152,6.087793178146268,1.0039576113562654,0.345,6,0.6666666666666666,1.2175586356292536
184,Grimes,MID,COV,5.0,0.2,a,False,False,False,270,13.086298137966505,2.1592938655484484,0.8770000000000001,6,1.0,2.617259627593301
185,Sakamoto,MID,COV,4.9,0.1,a,False,True,False,31,2.024307911601917,0.3339961949677413,0.11,6,0.0,0.4131240635922279
186,Mason-Clark,MID,COV,5.4,0.1,a,False,True,False,127,10.693574428168052,1.762011818726144,0.628,6,0.6666666666666666,1.9802915607718614
187,Eccles,MID,COV,4.9,0.0,a,False,True,False,0,1.9023272621315304,0.3138702682007196,0.103,6,0.0,0.38823005349623063
188,Torp,MID,COV,5.4,0.1,a,False,True,True,47,10.122070206063677,1.6678433813561977,0.595,6,0.0,1.8744574455673475
189,Shepherd,MID,COV,4.5,0.3,a,False,True,False,0,0.8006852262951059,0.13210728339140138,0.044000000000000004,6,0.0,0.1779300502878013
190,Tchaouna,MID,COV,5.5,0.1,a,False,False,False,166,9.040854264944883,1.4880598479411586,0.603,6,0.6666666666666666,1.6437916845354332
191,Borges Rodrigues,MID,COV,4.5,0.1,u,False,True,False,0,0.3213436176759218,0.0,0.017333333333333333,6,0.0,0.07140969281687151
192,Andrews,MID,COV,4.5,0.4,u,False,True,False,0,0.32074593092536213,0.0,0.017333333333333333,6,0.0,0.07127687353896936
193,Wright,FWD,COV,5.4,0.1,i,True,True,False,0,3.7669121758009227,0.0,0.162,6,0.0,0.6975763288520227
